order_id,quantity,item_name,choice_description,item_price,unit_price,choice_description_list,n_accompagnements
15,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,"['Tomatillo-GreenChiliSalsa(Medium)', 'PintoBeans', 'Rice', 'Cheese', 'SourCream']",5
15,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,,0
16,1,Steak Burrito,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Sour Cream]]",8.99,8.99,"['RoastedChiliCornSalsa(Medium)', 'FreshTomatoSalsa(Mild)', 'Rice', 'BlackBeans', 'SourCream']",5
16,1,Side of Chips,,1.69,1.69,,0
17,1,Carnitas Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'BlackBeans', 'Rice', 'FajitaVeggies', 'Cheese', 'SourCream', 'Lettuce']",7
17,1,Bottled Water,,1.09,1.09,,0
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, Rice]",8.75,8.75,"['RoastedChiliCornSalsa', 'Rice']",2
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Cheese, Lettuce]]",8.75,8.75,"['RoastedChiliCornSalsa', 'Cheese', 'Lettuce']",3
18,1,Chips and Guacamole,,4.45,4.45,,0
18,1,Chips and Tomatillo Green Chili Salsa,,2.95,2.95,,0
19,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,"['RoastedChiliCornSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
19,1,Chips,,2.15,2.15,,0
20,1,Chips and Guacamole,,4.45,4.45,,0
20,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,"['RoastedChiliCornSalsa', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",7
20,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,"['FreshTomatoSalsa', 'Rice', 'PintoBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",7
20,1,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]",8.75,8.75,"['FreshTomatoSalsa', 'FajitaVegetables', 'PintoBeans', 'Lettuce']",4
21,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,"['Tomatillo-RedChiliSalsa(Hot)', 'BlackBeans', 'FajitaVeggies', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",7
21,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'Rice', 'FajitaVeggies', 'Cheese']",4
21,1,Izze,[Blackberry],3.39,3.39,['Blackberry'],1
22,1,Steak Burrito,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]",8.99,8.99,"['FreshTomatoSalsa(Mild)', 'RoastedChiliCornSalsa(Medium)', 'Tomatillo-RedChiliSalsa(Hot)', 'BlackBeans', 'Rice', 'SourCream']",6
22,1,Chips and Guacamole,,3.99,3.99,,0
23,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['RoastedChiliCornSalsa(Medium)', 'Rice', 'FajitaVeggies', 'Cheese', 'SourCream', 'Lettuce']",6
23,2,Canned Soda,[Mountain Dew],2.18,1.09,['MountainDew'],1
24,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,"['RoastedChiliCornSalsa(Medium)', 'BlackBeans', 'Rice', 'FajitaVeggies', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
24,1,Canned Soda,[Sprite],1.09,1.09,['Sprite'],1
25,1,Steak Bowl,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]",8.99,8.99,"['FreshTomatoSalsa(Mild)', 'BlackBeans', 'Rice', 'FajitaVeggies', 'Cheese', 'SourCream']",6
25,1,Chips and Fresh Tomato Salsa,,2.39,2.39,,0
26,1,Barbacoa Soft Tacos,"[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Lettuce]]",9.25,9.25,"['FreshTomatoSalsa', 'FajitaVegetables', 'BlackBeans', 'Lettuce']",4
26,1,Veggie Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,"['TomatilloRedChiliSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
27,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,"['RoastedChiliCornSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
27,1,Chips,,2.15,2.15,,0
28,1,Chips and Guacamole,,4.45,4.45,,0
28,1,Steak Soft Tacos,"[Fresh Tomato Salsa, Cheese]",9.25,9.25,"['FreshTomatoSalsa', 'Cheese']",2
28,1,Veggie Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,"['FreshTomatoSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
28,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]",8.75,8.75,"['FreshTomatoSalsa', 'Rice', 'BlackBeans', 'Cheese']",4
29,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'BlackBeans', 'Rice', 'FajitaVeggies', 'Cheese', 'SourCream', 'Lettuce']",7
29,1,Steak Soft Tacos,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",5
30,1,Izze,[Blackberry],3.39,3.39,['Blackberry'],1
30,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'Rice', 'Cheese']",3
30,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,"['Tomatillo-RedChiliSalsa(Hot)', 'BlackBeans', 'FajitaVeggies', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",7
31,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]",8.99,8.99,"['RoastedChiliCornSalsa(Medium)', 'Rice', 'BlackBeans', 'SourCream']",4
31,1,Side of Chips,,1.69,1.69,,0
32,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'BlackBeans', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",6
32,1,Chips and Guacamole,,3.99,3.99,,0
33,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",8.75,8.75,"['TomatilloRedChiliSalsa', 'Rice', 'BlackBeans', 'Cheese', 'SourCream']",5
33,1,Chips and Guacamole,,4.45,4.45,,0
34,1,Chicken Soft Tacos,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",8.75,8.75,"['TomatilloRedChiliSalsa', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",5
34,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Lettuce]]",8.75,8.75,"['FreshTomatoSalsa', 'Rice', 'BlackBeans', 'PintoBeans', 'Cheese', 'Lettuce']",6
34,1,Chips,,2.15,2.15,,0
34,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",8.75,8.75,"['FreshTomatoSalsa', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Lettuce']",6
35,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]",11.25,11.25,"['RoastedChiliCornSalsa', 'Rice', 'Cheese', 'Lettuce', 'Guacamole']",5
35,1,Chips,,2.15,2.15,,0
36,1,Barbacoa Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,9.25,"['FreshTomatoSalsa', 'Rice', 'PintoBeans', 'Cheese', 'SourCream', 'Lettuce']",6
36,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",8.75,8.75,"['FreshTomatoSalsa', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Lettuce']",6
37,1,Chicken Burrito,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese]]",8.75,8.75,"['TomatilloGreenChiliSalsa', 'Rice', 'BlackBeans', 'SourCream', 'Cheese']",5
37,1,Steak Soft Tacos,[Tomatillo Red Chili Salsa],9.25,9.25,['TomatilloRedChiliSalsa'],1
38,1,Veggie Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce]]",8.49,8.49,"['Tomatillo-RedChiliSalsa(Hot)', 'PintoBeans', 'BlackBeans', 'Rice', 'FajitaVeggies', 'Lettuce']",6
38,1,Steak Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'PintoBeans', 'Rice', 'FajitaVeggies', 'Cheese', 'Lettuce']",6
38,1,Bottled Water,,1.09,1.09,,0
39,1,Carnitas Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]",9.25,9.25,"['FreshTomatoSalsa', 'Rice', 'PintoBeans', 'SourCream', 'Cheese']",5
39,1,Chips and Fresh Tomato Salsa,,2.95,2.95,,0
40,1,Steak Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",11.75,11.75,"['FreshTomatoSalsa', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Guacamole']",6
40,1,Steak Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]",11.75,11.75,"['FreshTomatoSalsa', 'FajitaVegetables', 'Cheese', 'SourCream', 'Guacamole']",5
40,1,Steak Crispy Tacos,"[Fresh Tomato Salsa, Sour Cream]",9.25,9.25,"['FreshTomatoSalsa', 'SourCream']",2
41,1,Carnitas Burrito,"[Roasted Chili Corn Salsa, [Sour Cream, Guacamole]]",11.75,11.75,"['RoastedChiliCornSalsa', 'SourCream', 'Guacamole']",3
41,1,Chips and Guacamole,,4.45,4.45,,0
42,1,Barbacoa Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]",9.25,9.25,"['FreshTomatoSalsa', 'FajitaVegetables', 'Rice', 'Cheese', 'SourCream']",5
42,1,Chips and Guacamole,,4.45,4.45,,0
43,1,Carnitas Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",11.75,11.75,"['FreshTomatoSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'Guacamole', 'Lettuce']",7
43,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]",8.75,8.75,"['TomatilloRedChiliSalsa', 'Rice', 'BlackBeans', 'Cheese']",4
44,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce]]",8.75,8.75,"['TomatilloRedChiliSalsa', 'Rice', 'FajitaVegetables', 'SourCream', 'Lettuce']",5
44,1,Chips and Guacamole,,4.45,4.45,,0
45,1,Steak Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-GreenChiliSalsa(Medium)', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",5
45,1,Steak Bowl,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-GreenChiliSalsa(Medium)', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",5
45,1,Chips and Guacamole,,3.99,3.99,,0
46,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce]]",8.49,8.49,"['FreshTomatoSalsa(Mild)', 'BlackBeans', 'Rice', 'FajitaVeggies', 'SourCream', 'Lettuce']",6
46,1,Nantucket Nectar,[Pineapple Orange Banana],3.39,3.39,['PineappleOrangeBanana'],1
47,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]",8.99,8.99,"['RoastedChiliCornSalsa(Medium)', 'Rice', 'BlackBeans', 'FajitaVeggies', 'SourCream']",5
47,1,Canned Soda,[Dr. Pepper],1.09,1.09,['Dr.Pepper'],1
48,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]",9.25,9.25,"['RoastedChiliCornSalsa', 'FajitaVegetables', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",6
48,1,Chips and Guacamole,,4.45,4.45,,0
49,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",8.75,8.75,"['TomatilloRedChiliSalsa', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Lettuce']",6
49,1,Chips and Tomatillo Red Chili Salsa,,2.95,2.95,,0
49,1,Chips and Guacamole,,4.45,4.45,,0
50,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,,0
50,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,"['Tomatillo-GreenChiliSalsa(Medium)', 'PintoBeans', 'Rice', 'Cheese', 'SourCream']",5
51,1,Barbacoa Bowl,"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'Tomatillo-GreenChiliSalsa(Medium)', 'Rice', 'PintoBeans', 'FajitaVeggies', 'Cheese', 'SourCream', 'Lettuce']",8
51,1,Chicken Burrito,"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese, Lettuce]]",8.49,8.49,"['Tomatillo-RedChiliSalsa(Hot)', 'Tomatillo-GreenChiliSalsa(Medium)', 'Rice', 'PintoBeans', 'Cheese', 'Lettuce']",6
51,1,Canned Soda,[Diet Dr. Pepper],1.09,1.09,['DietDr.Pepper'],1
52,1,Steak Soft Tacos,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['RoastedChiliCornSalsa(Medium)', 'Tomatillo-RedChiliSalsa(Hot)', 'Cheese', 'SourCream', 'Lettuce']",5
52,1,Chips and Guacamole,,3.99,3.99,,0
53,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",8.75,8.75,"['TomatilloRedChiliSalsa', 'Rice', 'BlackBeans', 'SourCream', 'Cheese', 'Lettuce']",6
53,1,Barbacoa Burrito,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",9.25,9.25,"['TomatilloGreenChiliSalsa', 'Rice', 'BlackBeans', 'SourCream', 'Cheese', 'Lettuce']",6
53,1,Chips and Guacamole,,4.45,4.45,,0
54,1,Chicken Bowl,"[Fresh Tomato Salsa, [Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice]]",11.25,11.25,"['FreshTomatoSalsa', 'Guacamole', 'Cheese', 'SourCream', 'FajitaVegetables', 'Rice']",6
54,1,Chips and Guacamole,,4.45,4.45,,0
55,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]",8.99,8.99,"['RoastedChiliCornSalsa(Medium)', 'Rice', 'BlackBeans', 'FajitaVeggies', 'SourCream']",5
55,1,Canned Soda,[Coca Cola],1.09,1.09,['CocaCola'],1
56,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]",9.25,9.25,"['TomatilloRedChiliSalsa', 'Rice', 'PintoBeans', 'Cheese', 'Lettuce']",5
56,1,Chips and Tomatillo Red Chili Salsa,,2.95,2.95,,0
56,1,Chips and Guacamole,,4.45,4.45,,0
57,1,Barbacoa Burrito,"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]",11.75,11.75,"['RoastedChiliCornSalsa', 'Rice', 'PintoBeans', 'Cheese', 'Guacamole', 'Lettuce']",6
57,1,Chips and Guacamole,,4.45,4.45,,0
58,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,"['Tomatillo-GreenChiliSalsa(Medium)', 'PintoBeans', 'Rice', 'Cheese', 'SourCream']",5
58,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,,0
59,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]",10.98,10.98,"['RoastedChiliCornSalsa(Medium)', 'Rice', 'BlackBeans', 'SourCream', 'Guacamole']",5
60,2,Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]",22.5,11.25,"['TomatilloGreenChiliSalsa', 'SourCream', 'Cheese', 'Guacamole']",4
61,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,"['TomatilloRedChiliSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
61,1,Chips and Guacamole,,4.45,4.45,,0
62,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole]]",11.25,11.25,"['FreshTomatoSalsa', 'Rice', 'FajitaVegetables', 'SourCream', 'Cheese', 'Guacamole']",6
62,1,Chips and Guacamole,,4.45,4.45,,0
63,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",11.25,11.25,"['TomatilloGreenChiliSalsa', 'Rice', 'SourCream', 'Cheese', 'Guacamole']",5
63,1,Chips and Guacamole,,4.45,4.45,,0
64,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",11.25,11.25,"['FreshTomatoSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'Guacamole', 'Lettuce']",7
64,1,Veggie Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]",11.25,11.25,"['TomatilloRedChiliSalsa', 'FajitaVegetables', 'BlackBeans', 'Cheese', 'Guacamole', 'Lettuce']",6
65,1,Barbacoa Burrito,"[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",11.75,11.75,"['TomatilloRedChiliSalsa', 'Rice', 'SourCream', 'Cheese', 'Guacamole']",5
65,1,Carnitas Bowl,"[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]",9.25,9.25,"['RoastedChiliCornSalsa', 'Rice', 'FajitaVegetables', 'BlackBeans', 'SourCream', 'Cheese']",6
65,1,Chips and Guacamole,,4.45,4.45,,0
66,1,Steak Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]",11.48,11.48,"['Tomatillo-GreenChiliSalsa(Medium)', 'Rice', 'BlackBeans', 'SourCream', 'Guacamole']",5
67,2,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]",17.98,8.99,"['Tomatillo-RedChiliSalsa(Hot)', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",5
67,1,Side of Chips,,1.69,1.69,,0
68,2,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",17.5,8.75,"['TomatilloRedChiliSalsa', 'Rice', 'BlackBeans', 'SourCream', 'Cheese', 'Lettuce']",6
68,1,Chips and Guacamole,,4.45,4.45,,0
69,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,"['Tomatillo-GreenChiliSalsa(Medium)', 'PintoBeans', 'Rice', 'Cheese', 'SourCream']",5
69,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,,0
